,name_muni,private_school_type,geometry,size,education_level_others,urban,government_level,centroid_column,x,y
199870,Porto Alegre,Particular,POINT (-51.18704 -30.16047),Mais de 1000 matrículas de escolarização,,Urbana,Privada,POINT (-51.18704 -30.16047),-51.18704,-30.16047
199872,Porto Alegre,Particular,POINT (-51.23133 -30.03075),Mais de 1000 matrículas de escolarização,,Urbana,Privada,POINT (-51.23133 -30.03075),-51.23133,-30.03075
199873,Porto Alegre,Particular,POINT (-51.22237 -30.02812),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.22237 -30.02812),-51.22237,-30.02812
199874,Porto Alegre,Particular,POINT (-51.22703 -30.03069),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.22703 -30.03069),-51.22703,-30.03069
199876,Porto Alegre,Particular,POINT (-51.22271 -30.02523),Entre 201 e 500 matrículas de escolarização,,Urbana,Privada,POINT (-51.22271 -30.02523),-51.22271,-30.02523
199929,Porto Alegre,Não Informado,POINT (-51.13074911 -30.14187932),Entre 501 e 1000 matrículas de escolarização,,Urbana,Federal,POINT (-51.13074911 -30.14187932),-51.13074911,-30.14187932
199935,Porto Alegre,Não Informado,POINT (-51.09536 -30.22072),Até 50 matrículas de escolarização,,Urbana,Estadual,POINT (-51.09536 -30.22072),-51.09536,-30.22072
199983,Porto Alegre,Particular,POINT (-51.10934 -30.00716),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.10934 -30.00716),-51.10934,-30.00716
199984,Porto Alegre,Particular,POINT (-51.2373036 -30.1271165),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.2373036 -30.1271165),-51.2373036,-30.1271165
199985,Porto Alegre,Particular,POINT (-51.20554 -30.04889),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.20554 -30.04889),-51.20554,-30.04889
199987,Porto Alegre,Particular,POINT (-51.18436 -30.01259),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.18436 -30.01259),-51.18436,-30.01259
199989,Porto Alegre,Particular,POINT (-51.18156 -30.0311),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.18156 -30.0311),-51.18156,-30.0311
199993,Porto Alegre,Particular,POINT (-51.1752 -30.09194),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.1752 -30.09194),-51.1752,-30.09194
199995,Porto Alegre,Particular,POINT (-51.09916 -30.01355),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.09916 -30.01355),-51.09916,-30.01355
199996,Porto Alegre,Particular,POINT (-51.17807 -30.02981),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.17807 -30.02981),-51.17807,-30.02981
199997,Porto Alegre,Particular,POINT (-51.20386 -30.05208),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.20386 -30.05208),-51.20386,-30.05208
199998,Porto Alegre,Não Informado,POINT (-51.1486 -30.00811),,,Urbana,Privada,POINT (-51.1486 -30.00811),-51.1486,-30.00811
199999,Porto Alegre,Particular,POINT (-51.1480022 -30.0124666),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.1480022 -30.0124666),-51.1480022,-30.0124666
200008,Porto Alegre,Particular,POINT (-51.1946 -30.03969),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.1946 -30.03969),-51.1946,-30.03969
200009,Porto Alegre,Particular,POINT (-51.19355 -30.0293),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.19355 -30.0293),-51.19355,-30.0293
200010,Porto Alegre,Particular,POINT (-51.22837 -30.06071),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.22837 -30.06071),-51.22837,-30.06071
200011,Porto Alegre,Particular,POINT (-51.2123 -30.14776),Entre 51 e 200 matrículas de escolarização,,Urbana,Privada,POINT (-51.2123 -30.14776),-51.2123,-30.14776
200061,Porto Alegre,Particular,POINT (-51.09608 -30.02402),Entre 201 e 500 matrículas de escolarização,,Urbana,Privada,POINT (-51.09608 -30.02402),-51.09608,-30.02402
200182,Porto Alegre,Particular,POINT (-51.12831 -29.99644),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.12831 -29.99644),-51.12831,-29.99644
200183,Porto Alegre,Particular,POINT (-51.10212 -30.11369),Até 50 matrículas de escolarização,,Urbana,Privada,POINT (-51.10212 -30.11369),-51.10212,-30.11369
200185,Porto Alegre,Não Informado,POINT (-51.12349 -30.00143),,,Urbana,Privada,POINT (-51.12349 -30.00143),-51.12349,-30.00143
