platform_id,name,min_area,max_area,price_per_private_square_meter,st_astext
AUX328451,MW MAIOJAMA SELECT RESID,149,149,0,POINT(-51.2550894 -30.112806)
AUX347684,DON MATHEUS,66,66,0,POINT(-51.2222231 -30.12250209999999)
AUX339132,SIRENA,230,233,0,POINT(-51.2592858 -30.1069581)
ORL21425,Ilha Verde,115.5,115.5,1018,POINT(-51.197044372558594 -30.12934112548828)
ORL19738,Pateo Verde,146.49000549316406,146.49000549316406,1462,POINT(-51.21709442138672 -30.13919448852539)
ORL15516,Reserva do Sul II,41.189998626708984,41.189998626708984,3253,POINT(-51.15127944946289 -30.162376403808594)
ORL19403,Residencial Duo Figueiras,49.93000030517578,49.93000030517578,3285,POINT(-51.15996170043945 -30.156763076782227)
ZAP2516935980,Residencial Porto das Águias,40,40,3325,POINT(-51.124938 -30.142749)
ORL10001,Porto dos Canários,40.459999084472656,40.459999084472656,4041,POINT(-51.14616394042969 -30.158618927001953)
ORL186,Campo Dourado,50.81999969482422,62.84000015258789,4132,POINT(-51.19329833984375 -30.162399291992188)
ORL2096,Costa Smeralda,168.50999450683594,168.50999450683594,4154,POINT(-51.22169876098633 -30.154300689697266)
ORL18067,Residencial Porto Aurora,40.83000183105469,50.72999954223633,4237,POINT(-51.22848129272461 -30.11519432067871)
ORL23758,Viverdes - Fase 1,58.959999084472656,58.959999084472656,4302,POINT(-51.203575134277344 -30.146387100219727)
ZAP2507618473,Residencial Porto Aurora,40,43,4412.25,POINT(-51.228481 -30.115194)
ORL24064,Parque do Salso - Fase 2,48.220001220703125,69.54000091552734,4666,POINT(-51.15996170043945 -30.156763076782227)
ORL19401,Parque do Salso - Fase 1,48.91999816894531,48.91999816894531,4886,POINT(-51.16101837158203 -30.156105041503906)
ORL1768,Don Matheus,66.8499984741211,105.2300033569336,4936,POINT(-51.22309875488281 -30.120899200439453)
ORL4398,Maracá Living,357.8299865722656,357.8299865722656,5170,POINT(-51.25436019897461 -30.09913444519043)
ORL3642,Acqua,449.1499938964844,449.1499938964844,5277,POINT(-51.24174118041992 -30.12820816040039)
ORL18080,Residencial Porto Fazenda Real,43.599998474121094,52.400001525878906,5397,POINT(-51.233158111572266 -30.1044864654541)
AUX340365,PORTO FAZENDA REAL,46,54,5500,POINT(-51.2331586 -30.1044864)
ORL3545,Mário Totta 143,197,197,5533,POINT(-51.25868606567383 -30.116497039794922)
ZAP2507618179,Residencial Porto Fazenda Real,43,52,5546.51171875,POINT(-51.233159 -30.104486)
ORL505,Oxy Home Resort,57.86000061035156,72.69000244140625,6032,POINT(-51.23350143432617 -30.10420036315918)
ORL424,Port Salerno,293.54998779296875,343.239990234375,6779,POINT(-51.2588005065918 -30.10700035095215)
ORL598,Live It,61.790000915527344,76.69000244140625,7408,POINT(-51.237300872802734 -30.102699279785156)
ORL3540,Condomínio Vista Nobre Pedra Redonda,300.1199951171875,300.1199951171875,7497,POINT(-51.2445068359375 -30.125043869018555)
ORL14326,Scenario,143.36000061035156,143.36000061035156,8036,POINT(-51.24740982055664 -30.108642578125)
ORL3174,Villa Arbo,75.48999786376953,218.55999755859375,8268,POINT(-51.25098419189453 -30.113075256347656)
